Sample	Species	Reference	Total_Reads	Mapped_Reads	Percent_Mapped	Mean_Depth	Breadth_1x	Breadth_5x	Breadth_10x	Mean_MapQ	Genome_Size
YFT_TNC_Palm_37	YFT	thunnus_albacares_ref	126412	126412	100.00	0.01	1.46	0.00	0.00	40.37	792134391
YFT_TNC_Palm_38	YFT	thunnus_albacares_ref	2151342	2151342	100.00	0.26	21.00	0.02	0.00	40.79	792134391
YFT_WCPFC_FJ_35	YFT	thunnus_albacares_ref	2254606	2254606	100.00	0.27	21.96	0.03	0.00	40.74	792134391
YFT_WCPFC_FJ_37	YFT	thunnus_albacares_ref	2973359	2973359	100.00	0.37	25.79	0.27	0.00	40.78	792134391
YFT_WCPFC_FJ_38	YFT	thunnus_albacares_ref	663278	663278	100.00	0.08	7.55	0.00	0.00	40.32	792134391
YFT_WCPFC_FJ_42	YFT	thunnus_albacares_ref	2720987	2720987	100.00	0.33	26.21	0.03	0.00	40.82	792134391
YFT_WCPFC_NC_24	YFT	thunnus_albacares_ref	737837	737837	100.00	0.09	8.13	0.00	0.00	40.38	792134391
YFT_WCPFC_NC_26	YFT	thunnus_albacares_ref	445873	445873	100.00	0.06	5.58	0.00	0.00	40.38	792134391
YFT_WCPFC_NC_30	YFT	thunnus_albacares_ref	481039	481039	100.00	0.06	5.66	0.00	0.00	40.34	792134391
YFT_WCPFC_NC_49	YFT	thunnus_albacares_ref	715117	715117	100.00	0.09	8.43	0.00	0.00	40.47	792134391
ALB046_FJ_20170823_L1	ALB	thunnus_maccoyii_ref	44920	44920	100.00	0.00	0.39	0.00	0.00	36.83	782423979
ALB105_NA_20201125_L2	ALB	thunnus_maccoyii_ref	688030	688030	100.00	0.07	5.61	0.03	0.00	37.03	782423979
ALB134_IO_20230430_L2	ALB	thunnus_maccoyii_ref	46072	46072	100.00	0.00	0.43	0.00	0.00	38.75	782423979
ALB135_IO_20230523_L2	ALB	thunnus_maccoyii_ref	30036	30036	100.00	0.00	0.32	0.00	0.00	36.30	782423979
ALB192_HI_20220323_L2	ALB	thunnus_maccoyii_ref	364714	364714	100.00	0.03	2.72	0.00	0.00	36.42	782423979
ALB193_HI_20220419_L2	ALB	thunnus_maccoyii_ref	48438	48438	100.00	0.01	0.51	0.00	0.00	36.70	782423979
ALB209_HI_20220419_L2	ALB	thunnus_maccoyii_ref	14316	14316	100.00	0.00	0.14	0.00	0.00	36.64	782423979
ALB225_HI_20220401_L2	ALB	thunnus_maccoyii_ref	40856	40856	100.00	0.00	0.29	0.00	0.00	36.66	782423979
ALB255_HI_20220408_L2	ALB	thunnus_maccoyii_ref	41294	41294	100.00	0.00	0.47	0.00	0.00	37.10	782423979
ALB256_HI_20220408_L2	ALB	thunnus_maccoyii_ref	10009	10009	100.00	0.00	0.11	0.00	0.00	36.90	782423979
ALB265_HI_20220411_L2	ALB	thunnus_maccoyii_ref	47726	47726	100.00	0.00	0.48	0.00	0.00	37.50	782423979
ALB551_HI_20220415_L2	ALB	thunnus_maccoyii_ref	81508	81508	100.00	0.01	0.71	0.00	0.00	35.98	782423979
ALB554_HI_20220415_L2	ALB	thunnus_maccoyii_ref	27341	27341	100.00	0.00	0.23	0.00	0.00	35.56	782423979
ALB555_HI_20220415_L2	ALB	thunnus_maccoyii_ref	20002	20002	100.00	0.00	0.20	0.00	0.00	37.16	782423979
ALB558_HI_20220415_L2	ALB	thunnus_maccoyii_ref	63408	63408	100.00	0.01	0.51	0.00	0.00	36.16	782423979
ALB_HLA_HI_214	ALB	thunnus_maccoyii_ref	925897	925897	100.00	0.11	10.02	0.00	0.00	39.12	782423979
ALB_HLA_HI_219	ALB	thunnus_maccoyii_ref	2060021	2060021	100.00	0.28	23.18	0.01	0.00	39.55	782423979
ALB_HLA_HI_265	ALB	thunnus_maccoyii_ref	2463146	2463146	100.00	0.31	25.46	0.01	0.00	39.83	782423979
ALB_HLA_HI_549	ALB	thunnus_maccoyii_ref	695958	695958	100.00	0.08	7.36	0.00	0.00	39.09	782423979
ALB_HLA_HI_550	ALB	thunnus_maccoyii_ref	161781	161781	100.00	0.02	1.82	0.00	0.00	38.95	782423979
ALB_HLA_HI_552	ALB	thunnus_maccoyii_ref	54295	54295	100.00	0.01	0.62	0.00	0.00	38.82	782423979
ALB_WCPFC_FJ_36	ALB	thunnus_maccoyii_ref	24714	24714	100.00	0.00	0.31	0.00	0.00	39.11	782423979
ALB_WCPFC_NC_54	ALB	thunnus_maccoyii_ref	427778	427778	100.00	0.05	5.10	0.00	0.00	39.27	782423979
ALB_WCPFC_NC_55	ALB	thunnus_maccoyii_ref	1245746	1245746	100.00	0.17	14.89	0.00	0.00	39.30	782423979
ALB_WCPFC_NC_67	ALB	thunnus_maccoyii_ref	237437	237437	100.00	0.03	2.84	0.00	0.00	39.25	782423979
ALB_WCPFC_NC_72	ALB	thunnus_maccoyii_ref	908434	908434	100.00	0.12	11.21	0.00	0.00	39.20	782423979
ALB_WCPFC_NC_74	ALB	thunnus_maccoyii_ref	1148551	1148551	100.00	0.15	12.73	0.01	0.00	39.47	782423979
ALB_WCPFC_NC_81	ALB	thunnus_maccoyii_ref	383923	383923	100.00	0.05	4.05	0.00	0.00	39.49	782423979
ALB_WCPFC_NC_84	ALB	thunnus_maccoyii_ref	953715	953715	100.00	0.12	11.20	0.00	0.00	39.24	782423979
BE211_HI_20220330_L2	BE2	thunnus_maccoyii_ref	662024	662024	100.00	0.07	6.74	0.00	0.00	37.97	782423979
BET009_PA_20240811_L1	BET	thunnus_maccoyii_ref	586853	586853	100.00	0.05	5.05	0.00	0.00	37.18	782423979
BET077_IO_20230311_L1	BET	thunnus_maccoyii_ref	154191	154191	100.00	0.02	1.49	0.00	0.00	37.08	782423979
BET078_IO_20230311_L1	BET	thunnus_maccoyii_ref	138303	138303	100.00	0.01	1.25	0.00	0.00	36.95	782423979
BET079_IO_20230315_L1	BET	thunnus_maccoyii_ref	242884	242884	100.00	0.02	2.22	0.00	0.00	36.97	782423979
BET080_IO_20230315_L1	BET	thunnus_maccoyii_ref	301724	301724	100.00	0.03	2.77	0.00	0.00	37.09	782423979
BET081_IO_20230315_L1	BET	thunnus_maccoyii_ref	2673046	2673046	100.00	0.22	18.70	0.01	0.00	38.15	782423979
BET082_IO_20230316_L1	BET	thunnus_maccoyii_ref	320711	320711	100.00	0.03	2.63	0.00	0.00	37.18	782423979
BET083_IO_20230316_L1	BET	thunnus_maccoyii_ref	1064601	1064601	100.00	0.11	9.78	0.00	0.00	37.46	782423979
BET084_IO_20230316_L1	BET	thunnus_maccoyii_ref	241412	241412	100.00	0.02	2.02	0.00	0.00	37.04	782423979
BET112_IO_20230423_L1	BET	thunnus_maccoyii_ref	160695	160695	100.00	0.01	1.44	0.00	0.00	36.95	782423979
BET113_IO_20230425_L1	BET	thunnus_maccoyii_ref	73945	73945	100.00	0.01	0.62	0.00	0.00	37.15	782423979
BET114_IO_20230425_L1	BET	thunnus_maccoyii_ref	112640	112640	100.00	0.01	0.78	0.00	0.00	37.65	782423979
BET115_IO_20230425_L1	BET	thunnus_maccoyii_ref	5454619	5454619	100.00	0.51	37.43	0.08	0.00	37.25	782423979
BET116_IO_20230425_L1	BET	thunnus_maccoyii_ref	4117624	4117624	100.00	0.34	27.42	0.02	0.00	38.05	782423979
BET117_IO_20230425_L1	BET	thunnus_maccoyii_ref	5517358	5517358	100.00	0.50	35.53	0.14	0.00	37.40	782423979
BET119_IO_20230425_L1	BET	thunnus_maccoyii_ref	4358364	4358364	100.00	0.39	30.15	0.05	0.00	37.39	782423979
BET120_IO_20230425_L1	BET	thunnus_maccoyii_ref	2751183	2751183	100.00	0.24	20.18	0.01	0.00	38.24	782423979
BET121_IO_20230425_L1	BET	thunnus_maccoyii_ref	72362	72362	100.00	0.01	0.59	0.00	0.00	37.24	782423979
BET203_HI_20220328_L2	BET	thunnus_maccoyii_ref	1729339	1729339	100.00	0.15	13.41	0.00	0.00	38.52	782423979
BET210_HI_20220330_L2	BET	thunnus_maccoyii_ref	19729	19729	100.00	0.00	0.23	0.00	0.00	37.06	782423979
BET217_HI_20220330_L2	BET	thunnus_maccoyii_ref	954	954	100.00	0.00	0.01	0.00	0.00	37.04	782423979
BET218_HI_20220330_L2	BET	thunnus_maccoyii_ref	468040	468040	100.00	0.04	4.01	0.00	0.00	38.16	782423979
BET_HLA_HI_183	BET	thunnus_maccoyii_ref	204786	204786	100.00	0.02	2.39	0.00	0.00	39.61	782423979
BET_HLA_HI_184	BET	thunnus_maccoyii_ref	26190	26190	100.00	0.00	0.33	0.00	0.00	39.63	782423979
BET_HLA_HI_190	BET	thunnus_maccoyii_ref	2473547	2473547	100.00	0.30	22.88	0.07	0.00	40.21	782423979
BET_HLA_HI_191	BET	thunnus_maccoyii_ref	36882	36882	100.00	0.00	0.47	0.00	0.00	39.53	782423979
BET_HLA_HI_198	BET	thunnus_maccoyii_ref	40784	40784	100.00	0.01	0.54	0.00	0.00	39.59	782423979
BET_HLA_HI_199	BET	thunnus_maccoyii_ref	46821	46821	100.00	0.01	0.58	0.00	0.00	39.26	782423979
BET_HLA_HI_200	BET	thunnus_maccoyii_ref	25504	25504	100.00	0.00	0.33	0.00	0.00	39.58	782423979
BET_HLA_HI_201	BET	thunnus_maccoyii_ref	24977	24977	100.00	0.00	0.30	0.00	0.00	39.60	782423979
BET_HLA_HI_202	BET	thunnus_maccoyii_ref	14727	14727	100.00	0.00	0.20	0.00	0.00	39.32	782423979
BET_OIFC_NC_25	BET	thunnus_maccoyii_ref	1031385	1031385	100.00	0.12	10.61	0.00	0.00	39.67	782423979
BET_OIFC_NC_26	BET	thunnus_maccoyii_ref	59342	59342	100.00	0.01	0.69	0.00	0.00	39.30	782423979
BET_WCPFC_NC_18	BET	thunnus_maccoyii_ref	120083	120083	100.00	0.01	1.28	0.00	0.00	39.44	782423979
BET_WCPFC_NC_21	BET	thunnus_maccoyii_ref	1983070	1983070	100.00	0.24	18.71	0.04	0.00	39.81	782423979
BET_WCPFC_NC_39	BET	thunnus_maccoyii_ref	479373	479373	100.00	0.06	5.40	0.00	0.00	39.67	782423979
BET_WCPFC_NC_43	BET	thunnus_maccoyii_ref	588377	588377	100.00	0.07	6.63	0.00	0.00	39.75	782423979
BET_WCPFC_NC_44	BET	thunnus_maccoyii_ref	160221	160221	100.00	0.02	1.92	0.00	0.00	39.75	782423979
BET_WCPFC_NC_51	BET	thunnus_maccoyii_ref	377378	377378	100.00	0.05	4.80	0.00	0.00	39.67	782423979
BET_WCPFC_NC_73	BET	thunnus_maccoyii_ref	1063708	1063708	100.00	0.12	10.27	0.01	0.00	39.75	782423979
BFT108_FL_20230329_L2	BFT	thunnus_maccoyii_ref	2149832	2149832	100.00	0.19	17.17	0.00	0.00	38.83	782423979
BFT110_FL_20230329_L2	BFT	thunnus_maccoyii_ref	11025617	11025617	100.00	0.85	51.50	0.64	0.00	37.99	782423979
BFT159_FL_20230329_L2	BFT	thunnus_maccoyii_ref	424347	424347	100.00	0.04	3.77	0.00	0.00	38.04	782423979
BFT459_FL_20230329_L2	BFT	thunnus_maccoyii_ref	7068787	7068787	100.00	0.50	36.80	0.07	0.00	38.64	782423979
BFT463_FL_20230329_L2	BFT	thunnus_maccoyii_ref	10622314	10622314	100.00	1.08	60.17	1.22	0.00	38.22	782423979
BFT470_FL_20230329_L2	BFT	thunnus_maccoyii_ref	8339066	8339066	100.00	0.63	43.71	0.15	0.00	38.41	782423979
BKFT_OIFC_NC_59	BKF	thunnus_maccoyii_ref	2118448	2118448	100.00	0.26	21.26	0.01	0.00	40.12	782423979
BKFT_OIFC_NC_60	BKF	thunnus_maccoyii_ref	2201136	2201136	100.00	0.27	22.09	0.02	0.00	40.09	782423979
BKFT_OIFC_NC_61	BKF	thunnus_maccoyii_ref	1432494	1432494	100.00	0.17	14.30	0.01	0.00	39.58	782423979
BKFT_OIFC_NC_62	BKF	thunnus_maccoyii_ref	1332313	1332313	100.00	0.16	14.21	0.01	0.00	39.64	782423979
BKFT_OIFC_NC_63	BKF	thunnus_maccoyii_ref	272597	272597	100.00	0.03	3.31	0.00	0.00	39.48	782423979
BKT043_NC_20220819_L2	BKT	thunnus_maccoyii_ref	244880	244880	100.00	0.02	1.99	0.00	0.00	36.73	782423979
BKT046_NC_20220819_L2	BKT	thunnus_maccoyii_ref	38093	38093	100.00	0.00	0.38	0.00	0.00	36.94	782423979
BKT052_NC_20220907_L1	BKT	thunnus_maccoyii_ref	122127	122127	100.00	0.01	1.10	0.00	0.00	37.46	782423979
BKT053_NC_20220907_L1	BKT	thunnus_maccoyii_ref	71723	71723	100.00	0.01	0.66	0.00	0.00	36.94	782423979
BKT054_NC_20220907_L1	BKT	thunnus_maccoyii_ref	3863	3863	100.00	0.00	0.04	0.00	0.00	36.21	782423979
BKT055_NC_20220907_L1	BKT	thunnus_maccoyii_ref	502994	502994	100.00	0.05	4.99	0.00	0.00	36.83	782423979
BKT056_NC_20220907_L1	BKT	thunnus_maccoyii_ref	250214	250214	100.00	0.02	2.26	0.00	0.00	36.81	782423979
BKT058_NC_20220907_L1	BKT	thunnus_maccoyii_ref	6325119	6325119	100.00	0.60	40.50	0.28	0.00	37.09	782423979
BKT062_NC_20220907_L2	BKT	thunnus_maccoyii_ref	55813	55813	100.00	0.01	0.61	0.00	0.00	36.95	782423979
BKT064_NC_20220907_L1	BKT	thunnus_maccoyii_ref	3027185	3027185	100.00	0.29	24.10	0.01	0.00	37.68	782423979
BKT065_NC_20220907_L1	BKT	thunnus_maccoyii_ref	1029552	1029552	100.00	0.10	9.02	0.00	0.00	36.90	782423979
BKT066_NC_20220907_L1	BKT	thunnus_maccoyii_ref	466538	466538	100.00	0.05	4.44	0.00	0.00	36.84	782423979
BKT067_NC_20220907_L1	BKT	thunnus_maccoyii_ref	706888	706888	100.00	0.06	5.51	0.00	0.00	37.52	782423979
BKT068_NC_20220907_L2	BKT	thunnus_maccoyii_ref	240672	240672	100.00	0.02	2.00	0.00	0.00	38.26	782423979
BKT069_NC_20220907_L2	BKT	thunnus_maccoyii_ref	67153	67153	100.00	0.01	0.72	0.00	0.00	36.32	782423979
BKT070_NC_20220907_L2	BKT	thunnus_maccoyii_ref	150229	150229	100.00	0.02	1.49	0.01	0.00	35.89	782423979
BKT071_NC_20220907_L2	BKT	thunnus_maccoyii_ref	41341	41341	100.00	0.00	0.44	0.00	0.00	36.26	782423979
BKT072_NC_20220907_L2	BKT	thunnus_maccoyii_ref	11927	11927	100.00	0.00	0.11	0.00	0.00	36.40	782423979
BKT205_FL_20230329_L2	BKT	thunnus_maccoyii_ref	136674	136674	100.00	0.01	1.06	0.00	0.00	36.96	782423979
BKT208_FL_20230329_L2	BKT	thunnus_maccoyii_ref	1848742	1848742	100.00	0.12	11.33	0.00	0.00	38.40	782423979
BKT414_FL_20230329_L2	BKT	thunnus_maccoyii_ref	6168007	6168007	100.00	0.53	38.90	0.08	0.00	38.65	782423979
BKT415_FL_20230329_L2	BKT	thunnus_maccoyii_ref	88366	88366	100.00	0.01	0.74	0.00	0.00	37.71	782423979
BKT416_FL_20230329_L2	BKT	thunnus_maccoyii_ref	2005659	2005659	100.00	0.14	12.52	0.00	0.00	38.58	782423979
BKT417_FL_20230329_L2	BKT	thunnus_maccoyii_ref	3046473	3046473	100.00	0.23	19.89	0.01	0.00	38.75	782423979
BKT418_FL_20230329_L2	BKT	thunnus_maccoyii_ref	351824	351824	100.00	0.03	2.80	0.00	0.00	38.20	782423979
PBFT_HLA_HI_220	PBF	thunnus_maccoyii_ref	29260	29260	100.00	0.00	0.36	0.00	0.00	39.52	782423979
PBFT_HLA_HI_590	PBF	thunnus_maccoyii_ref	315458	315458	100.00	0.04	3.43	0.00	0.00	39.70	782423979
PBFT_SWFSC_CA_949-10	PBF	thunnus_maccoyii_ref	1673311	1673311	100.00	0.20	17.66	0.01	0.00	39.51	782423979
PBFT_SWFSC_CA_949-12	PBF	thunnus_maccoyii_ref	2600686	2600686	100.00	0.34	26.73	0.02	0.00	40.25	782423979
PBFT_SWFSC_CA_949-14	PBF	thunnus_maccoyii_ref	2060121	2060121	100.00	0.26	21.19	0.02	0.00	40.07	782423979
PBFT_SWFSC_CA_949-15	PBF	thunnus_maccoyii_ref	423965	423965	100.00	0.05	4.63	0.01	0.00	39.58	782423979
PBFT_WCPFC_NC_120	PBF	thunnus_maccoyii_ref	1472881	1472881	100.00	0.19	16.81	0.00	0.00	39.56	782423979
PBFT_WCPFC_NC_17	PBF	thunnus_maccoyii_ref	1367087	1367087	100.00	0.16	13.93	0.02	0.00	39.61	782423979
PBFT_WCPFC_NC_19	PBF	thunnus_maccoyii_ref	554575	554575	100.00	0.06	5.33	0.04	0.01	39.42	782423979
PBFT_WCPFC_NC_20	PBF	thunnus_maccoyii_ref	330434	330434	100.00	0.04	3.55	0.00	0.00	39.71	782423979
PBFT_WCPFC_NC_27	PBF	thunnus_maccoyii_ref	143803	143803	100.00	0.02	1.60	0.00	0.00	39.68	782423979
PBT001_CA_20190913_L1	PBT	thunnus_maccoyii_ref	197163	197163	100.00	0.02	1.58	0.00	0.00	37.78	782423979
PBT002_CA_20190914_L1	PBT	thunnus_maccoyii_ref	1707604	1707604	100.00	0.14	12.95	0.00	0.00	36.99	782423979
PBT003_CA_20190915_L2	PBT	thunnus_maccoyii_ref	8875877	8875877	100.00	0.91	55.25	0.68	0.01	38.36	782423979
PBT004_CA_20190916_L2	PBT	thunnus_maccoyii_ref	53840	53840	100.00	0.01	0.56	0.00	0.00	37.06	782423979
PBT013_NZ_20240521_L2	PBT	thunnus_maccoyii_ref	12775269	12775269	100.00	1.40	67.75	3.27	0.01	39.53	782423979
PBT016_CA_20190928_L2	PBT	thunnus_maccoyii_ref	22942	22942	100.00	0.00	0.22	0.00	0.00	35.12	782423979
PBT018_CA_20190930_L1	PBT	thunnus_maccoyii_ref	899146	899146	100.00	0.08	7.68	0.00	0.00	36.93	782423979
PBT019_NZ_20240521_L2	PBT	thunnus_maccoyii_ref	60797	60797	100.00	0.01	0.58	0.00	0.00	36.93	782423979
PBT020_CA_20191002_L1	PBT	thunnus_maccoyii_ref	98380	98380	100.00	0.01	0.87	0.00	0.00	36.62	782423979
PBT034_SA_20220205_L2	PBT	thunnus_maccoyii_ref	345597	345597	100.00	0.03	3.13	0.00	0.00	39.15	782423979
PBT035_SA_20220205_L2	PBT	thunnus_maccoyii_ref	7793542	7793542	100.00	0.90	55.50	0.59	0.00	39.78	782423979
PBT037_SA_20220205_L1	PBT	thunnus_maccoyii_ref	6697056	6697056	100.00	0.56	38.26	0.30	0.00	38.19	782423979
PBT038_SA_20220205_L1	PBT	thunnus_maccoyii_ref	9091034	9091034	100.00	0.70	44.82	0.44	0.00	38.39	782423979
PBT120_NZ_20240427_L1	PBT	thunnus_maccoyii_ref	43243	43243	100.00	0.00	0.39	0.00	0.00	36.88	782423979
PBT121_NZ_20240423_L1	PBT	thunnus_maccoyii_ref	2903210	2903210	100.00	0.29	22.94	0.07	0.00	37.72	782423979
PBT122_NZ_20240423_L1	PBT	thunnus_maccoyii_ref	481175	481175	100.00	0.05	4.59	0.00	0.00	37.18	782423979
PBT123_NZ_20240521_L1	PBT	thunnus_maccoyii_ref	335369	335369	100.00	0.03	2.49	0.00	0.00	37.22	782423979
PBT124_NZ_20240521_L1	PBT	thunnus_maccoyii_ref	1873449	1873449	100.00	0.17	14.75	0.01	0.00	38.74	782423979
PBT125_NZ_20240521_L1	PBT	thunnus_maccoyii_ref	4753	4753	100.00	0.00	0.05	0.00	0.00	35.83	782423979
PBT126_NZ_20240521_L1	PBT	thunnus_maccoyii_ref	26635	26635	100.00	0.00	0.27	0.00	0.00	37.01	782423979
PBT127_NZ_20240521_L1	PBT	thunnus_maccoyii_ref	243193	243193	100.00	0.02	2.08	0.00	0.00	37.12	782423979
PBT138_NZ_20240521_L2	PBT	thunnus_maccoyii_ref	11770	11770	100.00	0.00	0.12	0.00	0.00	37.37	782423979
PBT520_SA_20220211_L1	PBT	thunnus_maccoyii_ref	3929983	3929983	100.00	0.31	24.11	0.03	0.00	38.23	782423979
PBT521_SA_20230211_L1	PBT	thunnus_maccoyii_ref	415085	415085	100.00	0.03	3.05	0.00	0.00	38.83	782423979
PBT522_SA_20210211_L1	PBT	thunnus_maccoyii_ref	6125714	6125714	100.00	0.44	32.37	0.10	0.00	38.02	782423979
PBT820_SA_20240210_L2	PBT	thunnus_maccoyii_ref	46018	46018	100.00	0.00	0.44	0.00	0.00	38.52	782423979
SBFT_UM_SEFSC_R2201ET0001	SBF	thunnus_maccoyii_ref	906048	906048	100.00	0.12	11.41	0.00	0.00	40.39	782423979
SBFT_UM_SEFSC_R2201ET0002	SBF	thunnus_maccoyii_ref	955673	955673	100.00	0.14	10.56	0.01	0.00	32.22	782423979
SBFT_UM_SEFSC_R2201ET0003	SBF	thunnus_maccoyii_ref	2295415	2295415	100.00	0.28	22.44	0.02	0.00	40.61	782423979
SBFT_UM_SEFSC_R2201ET0005	SBF	thunnus_maccoyii_ref	1996425	1996425	100.00	0.24	20.00	0.01	0.00	40.67	782423979
SBFT_UM_SEFSC_R2201ET0007	SBF	thunnus_maccoyii_ref	3368750	3368750	100.00	0.42	31.26	0.08	0.00	40.82	782423979
SBFT_UM_SEFSC_R2201ET0009	SBF	thunnus_maccoyii_ref	963477	963477	100.00	0.12	10.83	0.00	0.00	40.37	782423979
SBFT_UM_SEFSC_R2201ET0010	SBF	thunnus_maccoyii_ref	151654	151654	100.00	0.02	1.91	0.00	0.00	40.28	782423979
SBFT_UM_SEFSC_R2201ET0013	SBF	thunnus_maccoyii_ref	844587	844587	100.00	0.11	9.85	0.00	0.00	40.43	782423979
SBFT_UM_SEFSC_R2201ET0015	SBF	thunnus_maccoyii_ref	460276	460276	100.00	0.06	5.87	0.00	0.00	40.33	782423979
SBFT_UM_SEFSC_R2201ET0016	SBF	thunnus_maccoyii_ref	2860910	2860910	100.00	0.37	28.06	0.06	0.00	40.81	782423979
SBFT_UM_SEFSC_R2201ET0017	SBF	thunnus_maccoyii_ref	3034527	3034527	100.00	0.41	31.20	0.07	0.00	40.86	782423979
SBFT_UM_SEFSC_R2201ET0018	SBF	thunnus_maccoyii_ref	130572	130572	100.00	0.02	1.61	0.00	0.00	40.34	782423979
SBFT_UM_SEFSC_R2201ET0019	SBF	thunnus_maccoyii_ref	427586	427586	100.00	0.05	5.09	0.00	0.00	40.39	782423979
SBT001_NZ_20240521_L2	SBT	thunnus_maccoyii_ref	285337	285337	100.00	0.03	3.24	0.00	0.00	39.09	782423979
SBT002_NZ_20240521_L2	SBT	thunnus_maccoyii_ref	344463	344463	100.00	0.04	3.56	0.00	0.00	39.20	782423979
SBT003_NZ_20240521_L2	SBT	thunnus_maccoyii_ref	30721	30721	100.00	0.00	0.33	0.00	0.00	36.40	782423979
SBT004_NZ_20240521_L2	SBT	thunnus_maccoyii_ref	26320775	26320775	100.00	2.79	86.97	18.77	0.31	39.45	782423979
SBT005_NZ_20240521_L2	SBT	thunnus_maccoyii_ref	2091740	2091740	100.00	0.23	19.92	0.01	0.00	39.61	782423979
SBT006_NZ_20240521_L2	SBT	thunnus_maccoyii_ref	13504686	13504686	100.00	1.53	69.57	4.54	0.03	38.29	782423979
SBT007_NZ_20240521_L2	SBT	thunnus_maccoyii_ref	6185968	6185968	100.00	0.68	45.42	0.27	0.00	39.99	782423979
SBT008_NZ_20240521_L2	SBT	thunnus_maccoyii_ref	6546054	6546054	100.00	0.78	50.46	0.43	0.05	39.49	782423979
SBT011_NZ_20240521_L1	SBT	thunnus_maccoyii_ref	7127825	7127825	100.00	0.64	43.13	0.26	0.00	38.48	782423979
SBT012_NZ_20240521_L1	SBT	thunnus_maccoyii_ref	1190662	1190662	100.00	0.10	9.27	0.00	0.00	38.32	782423979
SBT025_NZ_20240520_L1	SBT	thunnus_maccoyii_ref	210631	210631	100.00	0.02	1.93	0.00	0.00	36.87	782423979
SBT026_NZ_20240520_L1	SBT	thunnus_maccoyii_ref	461265	461265	100.00	0.04	4.08	0.00	0.00	37.79	782423979
SBT027_NZ_20240520_L1	SBT	thunnus_maccoyii_ref	11184	11184	100.00	0.00	0.12	0.00	0.00	38.04	782423979
SBT028_NZ_20240520_L1	SBT	thunnus_maccoyii_ref	41519	41519	100.00	0.00	0.42	0.00	0.00	36.57	782423979
SBT029_NZ_20240520_L2	SBT	thunnus_maccoyii_ref	1505344	1505344	100.00	0.16	13.97	0.01	0.00	38.40	782423979
SBT030_NZ_20240520_L2	SBT	thunnus_maccoyii_ref	496031	496031	100.00	0.05	4.96	0.00	0.00	39.22	782423979
SBT031_NZ_20240520_L1	SBT	thunnus_maccoyii_ref	904956	904956	100.00	0.08	7.90	0.00	0.00	38.73	782423979
SBT032_NZ_20240520_L1	SBT	thunnus_maccoyii_ref	76771	76771	100.00	0.01	0.76	0.00	0.00	36.69	782423979
SBT033_NZ_20240520_L2	SBT	thunnus_maccoyii_ref	58362	58362	100.00	0.01	0.51	0.00	0.00	38.15	782423979
SBT034_NZ_20240520_L2	SBT	thunnus_maccoyii_ref	660656	660656	100.00	0.06	5.46	0.00	0.00	37.95	782423979
SBT117_NZ_20240521_L1	SBT	thunnus_maccoyii_ref	2269255	2269255	100.00	0.23	19.89	0.01	0.00	38.52	782423979
SBT131_NZ_20240521_L1	SBT	thunnus_maccoyii_ref	88240	88240	100.00	0.01	0.62	0.00	0.00	37.49	782423979
SBT132_NZ_20240521_L1	SBT	thunnus_maccoyii_ref	1941758	1941758	100.00	0.21	18.29	0.00	0.00	38.32	782423979
SBT133_NZ_20240521_L1	SBT	thunnus_maccoyii_ref	1856164	1856164	100.00	0.18	16.01	0.00	0.00	38.60	782423979
SBT134_NZ_20240521_L1	SBT	thunnus_maccoyii_ref	4948906	4948906	100.00	0.44	32.20	0.12	0.00	38.30	782423979
SBT135_NZ_20240521_L1	SBT	thunnus_maccoyii_ref	3578703	3578703	100.00	0.33	25.73	0.08	0.00	38.77	782423979
SBT136_NZ_20240521_L1	SBT	thunnus_maccoyii_ref	245299	245299	100.00	0.02	1.97	0.00	0.00	38.13	782423979
SBT152_NZ_20240520_L2	SBT	thunnus_maccoyii_ref	9305421	9305421	100.00	1.04	60.58	0.98	0.01	39.89	782423979
SBT154_NZ_20240520_L2	SBT	thunnus_maccoyii_ref	9062089	9062089	100.00	0.83	51.50	0.58	0.00	39.38	782423979
SBT155_NZ_20240520_L2	SBT	thunnus_maccoyii_ref	4283214	4283214	100.00	0.47	32.11	0.29	0.01	39.62	782423979
SBT158_NZ_20240520_L2	SBT	thunnus_maccoyii_ref	6209087	6209087	100.00	0.72	46.41	0.51	0.01	39.80	782423979
SBT523_SA_20230211_L1	SBT	thunnus_maccoyii_ref	3928692	3928692	100.00	0.37	28.55	0.04	0.00	38.94	782423979
SBT524_SA_20230211_L1	SBT	thunnus_maccoyii_ref	178545	178545	100.00	0.02	1.72	0.00	0.00	36.50	782423979
SBT821_SA_20240210_L2	SBT	thunnus_maccoyii_ref	7972300	7972300	100.00	0.95	56.64	0.69	0.00	38.67	782423979
SKJ002_IO_20230425_L2	SKJ	thunnus_maccoyii_ref	518046	518046	100.00	0.06	5.60	0.01	0.00	35.45	782423979
SKJ003_IO_20230425_L2	SKJ	thunnus_maccoyii_ref	24104	24104	100.00	0.00	0.21	0.00	0.00	33.54	782423979
SKJ004_IO_20230425_L2	SKJ	thunnus_maccoyii_ref	971250	971250	100.00	0.12	8.62	0.17	0.02	32.63	782423979
SKJ005_IO_20230425_L2	SKJ	thunnus_maccoyii_ref	62658	62658	100.00	0.01	0.71	0.00	0.00	35.63	782423979
SKJ006_IO_20230425_L2	SKJ	thunnus_maccoyii_ref	67670	67670	100.00	0.01	0.67	0.00	0.00	33.29	782423979
